epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6345,0.39512,2.01298,0.8742,0.99891,1,0.995,0.92474,0.39657,0.99968,0.82225,0.000549878,0.000549878,0.000549878
2,147.064,0.40406,1.16456,0.84501,1,0.99854,0.995,0.92014,0.41064,0.71863,0.83191,0.000996096,0.000996096,0.000996096
3,220.85,0.43302,0.95816,0.87042,0.9978,0.96552,0.99411,0.91158,0.40658,0.68142,0.82551,0.00133229,0.00133229,0.00133229
4,294.861,0.37312,0.75929,0.84419,0.99909,0.98851,0.99478,0.94451,0.32713,0.50037,0.79463,0.0011719,0.0011719,0.0011719
5,368.802,0.34686,0.62742,0.82281,0.99904,1,0.995,0.95722,0.31767,0.39239,0.79001,0.00100687,0.00100687,0.00100687
6,442.998,0.32601,0.5294,0.82488,1,0.99817,0.995,0.95808,0.29326,0.34024,0.78566,0.000841835,0.000841835,0.000841835
7,517.005,0.30159,0.45394,0.81214,0.99768,1,0.995,0.97114,0.27693,0.27525,0.78048,0.000676802,0.000676802,0.000676802
8,591.301,0.27517,0.40583,0.79887,0.98862,0.99858,0.99489,0.98343,0.23342,0.26578,0.7684,0.000511769,0.000511769,0.000511769
9,665.607,0.24475,0.36539,0.78866,0.99934,1,0.995,0.97874,0.22176,0.22946,0.76419,0.000346736,0.000346736,0.000346736
10,739.775,0.212,0.32596,0.77816,0.9993,1,0.995,0.98051,0.20386,0.21011,0.76161,0.000181703,0.000181703,0.000181703
